"year","school","commune","csep","ethnicity","rural","region","sch_type","gender","grade","fw"
2016,4531,8101,2,0,0,8,1,1,4,22
2016,4531,8101,3,0,0,8,1,1,4,19
2016,4531,8101,3,1,0,8,1,1,4,2
2016,4531,8101,1,0,0,8,1,1,4,5
2016,4531,8101,2,1,0,8,1,1,4,2
2016,4531,8101,2,0,0,8,1,2,4,13
2016,4531,8101,3,0,0,8,1,2,4,20
2016,4531,8101,3,1,0,8,1,2,4,2
2016,4531,8101,1,0,0,8,1,2,4,3
2016,4548,8101,2,0,0,8,1,1,4,5
2016,4548,8101,3,0,0,8,1,1,4,7
2016,4548,8101,2,0,0,8,1,2,4,1
2016,4548,8101,3,0,0,8,1,2,4,2
2016,4563,8101,2,0,0,8,1,1,4,1
2016,4563,8101,3,0,0,8,1,1,4,2
2016,4563,8101,2,0,0,8,1,2,4,1
2016,4563,8101,3,0,0,8,1,2,4,1
2016,4563,8101,3,1,0,8,1,2,4,1
2016,4564,8101,2,0,0,8,1,1,4,27
2016,4564,8101,3,0,0,8,1,1,4,21
2016,4564,8101,3,1,0,8,1,1,4,4
2016,4564,8101,1,0,0,8,1,1,4,9
2016,4564,8101,1,1,0,8,1,1,4,1
2016,4564,8101,3,0,0,8,1,2,4,15
2016,4564,8101,2,0,0,8,1,2,4,20
2016,4564,8101,2,1,0,8,1,2,4,3
2016,4564,8101,1,0,0,8,1,2,4,2
2016,4565,8101,2,0,0,8,1,1,4,8
2016,4565,8101,3,0,0,8,1,1,4,7
2016,4565,8101,1,1,0,8,1,1,4,1
2016,4565,8101,2,0,0,8,1,2,4,4
2016,4565,8101,2,1,0,8,1,2,4,1
2016,4565,8101,3,0,0,8,1,2,4,9
2016,4569,8101,2,0,0,8,1,1,4,5
2016,4569,8101,3,0,0,8,1,1,4,8
2016,4569,8101,3,1,0,8,1,1,4,1
2016,4569,8101,2,0,0,8,1,2,4,5
2016,4569,8101,3,0,0,8,1,2,4,6
2016,4569,8101,3,1,0,8,1,2,4,1
2016,4572,8101,2,0,0,8,1,1,4,4
2016,4572,8101,2,1,0,8,1,1,4,1
2016,4572,8101,3,0,0,8,1,1,4,7
2016,4572,8101,1,0,0,8,1,1,4,3
2016,4572,8101,2,0,0,8,1,2,4,2
2016,4572,8101,3,0,0,8,1,2,4,4
2016,4574,8101,2,0,0,8,1,2,4,20
2016,4574,8101,2,1,0,8,1,2,4,3
2016,4574,8101,3,0,0,8,1,2,4,20
2016,4574,8101,1,0,0,8,1,2,4,4
2016,4574,8101,3,1,0,8,1,2,4,1
2016,4577,8101,2,0,0,8,1,1,4,3
2016,4577,8101,3,0,0,8,1,1,4,5
2016,4577,8101,2,0,0,8,1,2,4,1
2016,4577,8101,3,1,0,8,1,2,4,2
2016,4577,8101,3,0,0,8,1,2,4,1
2016,4579,8101,2,0,0,8,1,1,4,7
2016,4579,8101,3,0,0,8,1,1,4,11
2016,4579,8101,3,1,0,8,1,1,4,1
2016,4579,8101,1,0,0,8,1,1,4,4
2016,4579,8101,2,0,0,8,1,2,4,6
2016,4579,8101,3,0,0,8,1,2,4,6
2016,4579,8101,3,1,0,8,1,2,4,3
2016,4579,8101,1,0,0,8,1,2,4,1
2016,4581,8101,2,1,0,8,1,1,4,1
2016,4581,8101,3,0,0,8,1,1,4,4
2016,4581,8101,2,0,0,8,1,2,4,3
2016,4581,8101,3,0,0,8,1,2,4,1
2016,4582,8101,2,0,0,8,1,1,4,3
2016,4582,8101,3,0,0,8,1,1,4,5
2016,4582,8101,3,0,0,8,1,2,4,6
2016,4582,8101,2,0,0,8,1,2,4,1
2016,4585,8101,2,0,0,8,1,1,4,1
2016,4585,8101,3,0,0,8,1,1,4,6
2016,4585,8101,3,1,0,8,1,1,4,1
2016,4585,8101,2,0,0,8,1,2,4,6
2016,4585,8101,3,0,0,8,1,2,4,4
2016,4588,8101,2,0,0,8,1,1,4,12
2016,4588,8101,2,1,0,8,1,1,4,1
2016,4588,8101,3,0,0,8,1,1,4,18
2016,4588,8101,3,1,0,8,1,1,4,3
2016,4588,8101,1,0,0,8,1,1,4,6
2016,4588,8101,2,0,0,8,1,2,4,10
2016,4588,8101,3,0,0,8,1,2,4,19
2016,4588,8101,3,1,0,8,1,2,4,2
2016,4588,8101,1,0,0,8,1,2,4,3
2016,4589,8101,2,0,0,8,1,1,4,2
2016,4589,8101,3,0,0,8,1,1,4,2
2016,4589,8101,3,1,0,8,1,1,4,2
2016,4589,8101,2,0,0,8,1,2,4,5
2016,4589,8101,3,0,0,8,1,2,4,4
2016,4589,8101,3,1,0,8,1,2,4,2
2016,4592,8101,2,0,0,8,1,1,4,1
2016,4592,8101,3,0,0,8,1,1,4,6
2016,4592,8101,1,0,0,8,1,1,4,1
2016,4592,8101,3,0,0,8,1,2,4,2
2016,4592,8101,3,1,0,8,1,2,4,2
2016,4592,8101,2,0,0,8,1,2,4,1
2016,4603,8101,2,0,0,8,1,1,4,2
2016,4603,8101,3,0,0,8,1,1,4,5
2016,4603,8101,2,0,0,8,1,2,4,1
2016,4609,8101,3,0,0,8,1,1,4,7
2016,4609,8101,2,0,0,8,1,1,4,2
2016,4609,8101,2,1,0,8,1,1,4,1
2016,4609,8101,3,1,0,8,1,1,4,2
2016,4609,8101,2,0,0,8,1,2,4,4
2016,4609,8101,3,0,0,8,1,2,4,5
2016,4612,8101,2,0,0,8,1,1,4,3
2016,4612,8101,3,0,0,8,1,1,4,4
2016,4612,8101,3,0,0,8,1,2,4,3
2016,4613,8101,2,0,0,8,1,1,4,1
2016,4613,8101,3,0,0,8,1,1,4,1
2016,4613,8101,2,0,0,8,1,2,4,1
2016,4613,8101,3,0,0,8,1,2,4,2
2016,4614,8101,2,0,1,8,1,1,4,2
2016,4614,8101,3,0,1,8,1,1,4,7
2016,4614,8101,2,0,1,8,1,2,4,9
2016,4614,8101,3,0,1,8,1,2,4,5
2016,4622,8101,2,0,1,8,1,1,4,1
2016,4622,8101,3,0,1,8,1,1,4,2
2016,4622,8101,3,1,1,8,1,1,4,1
2016,4622,8101,2,0,1,8,1,2,4,4
